VBNCBAE-N2,1,DONBN1A,42,ESTAN2A,18556,60
VBNCBLA-N2,1,DONBN1A,40,ANDESLA,18728,30
DOMCS-I,1,ESTA24A,49,VVETK1A,26427,60
VBIJAP4-N2,1,BALBO1A,56,PPAPC1A,30483,40
VBIJASP-N2,1,BALBO1A,11,AVE3CSA,5427,40
VBNCBPO-N2,1,DONBN1A,40,PAOJO  ,18165,40
VBNCBSB-P2,1,DONBN1A,39,ESTSI2A,19058,60
VBNCCAZ-N2,1,DONBN1A,21,EALCDIA,9684,30
DOMCS-R,1,VVETK2A,54,24DDI2A,26719,60
DOMMA-I,1,ESTA24A,57,ESTAMAO,29339,40
FEEDO,1,NVAES1A,21,NVAES1A,11849,60
FESMA-I,1,NVAES1A,32,ESTAMAD,33244,40
FESMA-R,1,ESTAMAD,31,NVAES2A,33764,60
BCVEC-I,1,CAL1C1A,66,ESTICAA,23285,40
VBNCCBN-P2,1,DONBN1A,2,DONBN2A,3315,60
VBNCCEA-N2,1,DONBN1A,32,AMANE1A,13423,40
VBNCCEC-N2,1,DONBN1A,22,ESTACAA,10306,40
CHOMA,1,AMELI3A,21,AMELI3A,6656,40
DOMMA-R,1,ESTAMAO,62,24DDI2A,29318,60
DONSI,1,ESTADAB,15,ESTADAB,43723,60
DOSAL-I,1,PARED1A,31,ALBROCF,33086,40
EAMAL-DI,1,ESTAN1B,26,ALBROCC,16788,40
EARAD-I,1,EALCDIA,33,ESTAN1E,13432,60
BCVEC-R,1,HSBCL3A,61,CAL1C2A,23980,40
BCVMA-I,1,ESTAD1A,74,ESTAMAL,26440,40
VBNCCPB-N2,1,DONBN1A,23,PACAB  ,10376,40
VBNCNPC-N1,1,DONBN1A,10,PACHO  ,33502,40
VBNCNPH-N1,1,DONBN1A,6,PACUR  ,23871,40
CHPAL-R,1,ALBROCG,37,CHAGR2A,40352,60
DOSAL-R,1,ALBROCF,30,PARED2A,35074,60
DOSCO-I,1,ESTADAA,20,BVVCS2A,19700,40
DOSCO-R,1,BVVCS2A,19,PARED2A,19941,60
DOSMA-I,1,ESTA24C,24,ESTAMAD,28409,40
EARLI-DI,1,ESTASLA,23,ESTAN1E,8057,60
EARLI-DR,1,ESTAN2E,23,SANTA2A,7701,40
EARPI-DI,1,MANOP1A,17,ESTAN1E,7974,60
EARPI-DR,1,ESTAN2F,17,MANOP2A,6725,40
EARTC-DI,1,ESTATCB,7,ESTAN1E,5281,60
EARTC-DR,1,ESTAN2D,13,TORCA2A,4843,40
VBIJATO-N2,1,BALBO1A,37,CRUCE1A,19000,50
VBIJAVL-N2,1,BALBO1A,23,VERDB2A,11210,40
CHPAL-TI,1,CHAGR1A,34,ALBROCG,37612,40
CHPAL-TR,1,ALBROCG,41,CHAGR2A,40625,60
VBRACBV-N2,1,BALBO2A,5,BVVCS1A,4333,40
VBRACCE-N2,1,BALBO2A,5,BVVCS2A,3901,40
COSAL-R,1,ALBROCF,13,BVVCS1A,15481,40
CPEJD-I,1,ESTAD1B,2,ESTAD2D,705,40
DOSMA-R,1,ESTAMAD,27,ESTA24C,30368,60
DOTBE,1,DORAD1A,24,DORAD1A,10237,60
VCHCBPO-N2,1,CHAGR2A,59,PAOJO  ,31142,40
VBIJTER-N2,1,BALBO1A,22,ESTAPAA,9541,40
BIPAL-R,1,ALBROCG,40,CABTK1A,41949,60
CPEJD-R,1,ESTAD2D,20,ESTAD1B,8565,40
CPEJ2-I,1,ESTAJ1B,2,ESTAJ2D,705,60
CPEJ2-R,1,ESTAJ2D,22,ESTAJ1B,11164,60
CPEJ3-I,1,ESTAD1B,2,ESTAD2D,705,40
CPEJ3-R,1,ESTAD2D,22,ESTAD1B,11164,40
VCACSBV-N2,1,PENAB1A,13,BVVCS1A,17618,40
VCACSCE-N2,1,PENAB1A,13,BVVCS2A,17099,40
VCACSEM-P1,1,PENAB1A,21,ESTAMAA,25700,40
EARBO-I,1,AMANE1A,35,ESTAN1E,13261,60
BLVDO-I,1,ESTA24B,37,BALBO1A,17478,60
BLVDO-R,1,ETBVE2D,39,PARED2A,18186,60
CPVAL-DR,1,ALBROCA,59,CA1CS1A,30416,40
EARVA-I,1,VALLE1A,12,ESTAN1E,4311,60
EARVA-R,1,ESTAN2F,13,VALLE2A,4030,30
VCHCBSB-N2,1,CHAGR2A,58,ESTSI2A,32035,60
VCHCCAZ-N2,1,CHAGR2A,40,EALCDIA,22661,30
VCHCCC6-N2,1,CHAGR2A,8,CANCP1A,7037,40
BLVMP-I,1,PENAB1A,37,BALBO1A,14969,60
BLVMP-R,1,ETBVE2C,39,PENAB2A,15482,40
BLVTO-I,1,ESTASIC,50,BALBO1A,21092,60
CSFAL,1,ALBROCD,22,ALBROCD,18430,40
VBRACET-N1,1,BALBO2A,5,COEST1A,1880,60
VBRCSAL-N1,1,BALBO2A,16,ALBROCA,17040,40
VBRCSA3-N1,1,BALBO2A,16,ADETM2A,13288,60
VBRCSCN-N1,1,BALBO2A,14,CVANA2A,12487,60
VBRCSC5-N1,1,BALBO2A,8,HSBCL3A,10879,60
VBRCSEM-N1,1,BALBO2A,13,ESTAMAA,13005,40
MPMMA-R,1,PMITM2A,63,PENAB2A,27453,40
MPSAL-I,1,MAINT1A,35,ALBROCF,33241,40
PESMA-R,1,SJOSJ2A,29,ESTAPEC,24132,40
VALCSDR-N2,1,H24PA2A,29,PARED1A,34934,60
VALCSEB-N2,1,ALBROCA,17,ETBVE1A,18299,60
SIRCH-I,1,VINTK1A,66,ESTSI1A,29218,60
VACCNPC-N1,1,ENADA1A,11,PACHO  ,23998,40
VACCNPH-N1,1,ESTAN1A,6,PACUR  ,14366,40
VACCNST-N2,1,ESTAN1A,15,ESTASLA,5657,40
VACCNTE-N2,1,ESTAN1A,14,ESTATCA,6149,40
INEBL-R,1,PCAVE2A,25,INATM1A,13318,60
INEDO-I,1,INATM1A,16,PARED2A,8519,60
INEDO-R,1,PARED1A,14,INATM1A,9291,60
INEGE-I,1,INATM1A,24,GESTATA,16399,60
MPSAL-R,1,ALBROCF,34,MAINT2A,35997,40
MPSCO-I,1,MAINT1A,36,BVVCS2A,19720,40
SIRLI,1,ESTSI2A,51,ESTSI2A,14845,60
INEGE-R,1,GESTATA,23,INATM1A,14970,60
LAMMA-I,1,ANDESLA,38,ESTAMAP,15100,40
MPSCO-R,1,BVVCS2A,33,MAINT2A,18863,40
MPSMA-I,1,MAINT1A,32,ESTAMAC,29485,40
